1,8.840
2,8.802
3,8.739
4,8.492
5,8.646
6,8.630
7,8.517
8,8.780
9,8.834
10,8.708
11,8.709
12,8.916
13,8.624
14,8.712
15,9.143
16,9.179
17,8.858
18,9.174
19,8.942
20,8.565
21,8.887
22,9.814
23,8.764
24,8.851
25,8.763
26,8.642
27,8.660
28,8.670
29,8.890
30,8.562
31,8.885
32,8.522
33,8.734
34,8.667
35,8.685
36,8.637
37,8.721
38,8.537
39,9.511
40,8.476
41,8.511
42,8.927
43,8.674
44,8.974
45,8.665
46,8.406
47,8.782
48,8.837
49,8.865
50,8.722
51,8.457
52,9.152
53,9.068
54,8.754
55,8.853
56,9.339
57,9.136
58,10.034
59,8.834
60,8.760
61,8.570
62,9.038
63,8.605
64,8.871
65,8.878
66,8.608
67,8.624
68,8.880
69,8.792
70,8.714
71,8.848
72,8.861
73,9.229
74,8.662
75,10.120
76,8.728
77,8.790
78,8.447
79,8.475
80,9.163
81,8.455
82,9.304
83,8.657
84,8.457
85,8.984
86,8.593
87,8.931
88,9.155
89,8.528
90,9.002
91,8.527
92,10.033
93,8.745
94,8.594
95,8.775
96,8.958
97,9.174
98,8.715
99,8.445
100,8.816
101,8.433
102,8.520
103,8.954
104,8.870
105,8.456
106,8.479
107,8.812
108,8.774
109,9.178
110,8.786
111,8.469
112,9.601
113,8.697
114,8.303
115,9.810
116,9.101
117,8.729
118,8.919
119,9.142
120,8.953
121,8.872
122,9.290
123,9.023
124,8.791
125,8.509
126,9.325
127,8.458
128,8.504
129,8.351
130,8.858
131,8.324
132,8.834
133,8.336
134,8.750
135,8.805
136,9.005
137,8.771
138,8.950
139,8.457
140,8.689
141,8.732
142,9.101
143,8.941
144,8.782
145,8.947
146,8.841
147,8.878
148,9.324
149,8.533
150,8.528
151,8.968
152,8.603
153,16.109
154,8.745
155,8.734
156,8.761
157,9.812
158,8.830
159,8.456
160,9.965
161,8.435
162,8.617
163,8.709
164,8.930
165,8.703
166,8.785
167,9.014
168,8.877
169,8.847
170,8.955
171,8.755
172,8.624
173,8.697
174,8.585
175,8.815
176,8.915
177,9.078
178,8.764
179,8.190
180,8.574
181,8.999
182,8.830
183,8.840
184,8.761
185,8.489
186,8.426
187,8.235
188,8.669
189,8.690
190,8.865
191,8.655
192,8.455
193,8.552
194,9.058
195,8.854
196,8.898
197,8.337
198,8.922
199,8.992
200,9.490
201,8.636
202,8.935
203,9.256
204,8.668
205,9.197
206,8.951
207,8.765
208,9.708
209,8.618
210,8.598
211,9.915
212,8.686
213,8.383
214,8.608
215,8.335
216,8.884
217,12.306
218,9.123
219,8.687
220,8.542
221,8.485
222,8.613
223,8.472
224,8.600
225,8.279
226,8.664
227,8.494
228,9.331
229,8.887
230,8.897
231,8.903
232,9.006
233,8.419
234,10.772
235,8.734
236,8.374
237,8.623
238,8.564
239,8.510
240,9.139
241,8.751
242,9.001
243,8.468
244,8.656
245,8.813
246,8.492
247,9.143
248,8.909
249,9.457
250,8.717
251,9.072
252,8.417
253,8.934
254,9.058
255,8.623
256,8.809
257,8.372
258,9.013
259,8.399
260,8.861
261,11.253
262,8.684
263,8.940
264,8.417
265,17.362
266,8.688
267,8.650
268,8.818
269,8.694
270,8.785
271,8.517
272,8.667
273,8.741
274,8.495
275,8.630
276,8.610
277,9.658
278,8.069
279,8.996
280,8.616
281,8.804
282,8.835
283,8.705
284,9.204
285,9.468
286,9.059
287,8.954
288,8.689
289,8.300
290,9.306
291,9.040
292,8.822
293,8.368
294,9.265
295,8.841
296,8.741
297,9.112
298,9.074
299,8.952
300,8.580
301,8.785
302,9.292
303,8.645
304,9.059
305,11.025
306,8.592
307,9.104
308,9.063
309,8.760
310,8.847
311,8.893
312,9.010
313,8.873
314,8.526
315,15.719
316,8.643
317,9.668
318,8.839
319,9.207
320,9.096
321,8.711
322,8.537
323,9.122
324,8.524
325,8.839
326,9.056
327,9.037
328,8.712
329,8.728
330,8.553
331,8.620
332,9.486
333,9.238
334,9.464
335,8.777
336,8.525
337,8.710
338,8.520
339,8.925
340,8.634
341,10.568
342,8.467
343,8.783
344,8.779
345,9.011
346,8.738
347,8.728
348,9.099
349,8.740
350,8.120
351,8.759
352,8.824
353,8.608
354,8.816
355,8.583
356,9.053
357,9.053
358,9.491
359,9.172
360,11.595
361,9.051
362,8.715
363,9.267
364,8.630
365,8.545
366,8.753
367,8.799
368,8.954
369,8.633
370,8.493
371,9.043
372,8.290
373,8.368
374,8.686
375,8.510
376,9.331
377,9.166
378,8.976
379,9.220
380,9.005
381,9.055
382,8.949
383,9.623
384,9.189
385,9.242
386,8.739
387,8.961
388,8.943
389,8.762
390,8.343
391,9.213
392,9.653
393,9.098
394,8.878
395,8.790
396,8.683
397,8.747
398,9.733
399,9.054
400,8.952
401,8.483
402,9.537
